"","x"
"568","Madcam1"
"569","Mag"
"570","Map4k2"
"571","Marco"
"572","Mas1"
"573","Mc1r"
"574","Mc2r"
"575","Mc3r"
"576","Mc4r"
"577","Mc5r"
"578","Mcam"
"579","Mchr1"
"580","Mcl1"
"581","Mdga1"
"582","Megf10"
"583","Mertk"
"584","Met"
"585","Mfap3l"
"586","Mfrp"
"587","Mgrn1"
"588","Milr1"
"589","Mmp13"
"590","Mmp14"
"591","Mmp2"
"592","Mmp9"
"593","Mog"
"594","Mpig6b"
"595","Mpl"
"596","Mpz"
"597","Mpzl2"
"598","Mpzl3"
"599","Mrc1"
"600","Mrc2"
"601","Msn"
"602","Mst1r"
"603","Mtnr1a"
"604","Mtnr1b"
"605","Muc15"
"606","Muc5ac"
"607","Musk"
"608","Mylk"
"609","Mylk2"
"610","Naalad2"
"611","Ncam1"
"612","Ncam2"
"613","Ncr1"
"614","Ncstn"
"615","Nectin1"
"616","Nectin2"
"617","Nectin3"
"618","Nectin4"
"619","Negr1"
"620","Neo1"
"621","Neto2"
"622","Nfasc"
"623","Ngfr"
"624","Nlgn1"
"625","Nlgn2"
"626","Nlgn3"
"627","Nmbr"
"628","Nmur1"
"629","Nmur2"
"630","Notch1"
"631","Notch2"
"632","Notch3"
"633","Npbwr1"
"634","Npffr1"
"635","Npffr2"
"636","Npr1"
"637","Npr2"
"638","Npr3"
"639","Npsr1"
"640","Nptn"
"641","Nptxr"
"642","Npy1r"
"643","Npy2r"
"644","Npy5r"
"645","Nrcam"
"646","Nrp1"
"647","Nrp2"
"648","Nrsn1"
"649","Nrxn1"
"650","Nrxn2"
"651","Nrxn3"
"652","Nt5e"
"653","Ntm"
"654","Ntng1"
"655","Ntng2"
"656","Ntrk1"
"657","Ntrk2"
"658","Ntrk3"
"659","Ntsr1"
"660","Ntsr2"
"661","Ocln"
"662","Ogfr"
"663","Olr1"
"664","Opcml"
"665","Oprd1"
"666","Oprk1"
"667","Oprl1"
"668","Oprm1"
"669","Orai2"
"670","Oscar"
"671","Osmr"
"672","Oxtr"
"673","P2rx7"
"674","P2ry14"
"675","P2ry6"
"676","Patj"
"677","Pcdhac1"
"678","Pcdhb15"
"679","Pcdhga1"
"680","Pcdhga10"
"681","Pcdhga11"
"682","Pcdhga12"
"683","Pcdhga2"
"684","Pcdhga3"
"685","Pcdhga4"
"686","Pcdhga5"
"687","Pcdhga6"
"688","Pcdhga7"
"689","Pcdhga8"
"690","Pcdhga9"
"691","Pcdhgb1"
"692","Pcdhgb2"
"693","Pcdhgb4"
"694","Pcdhgb5"
"695","Pcdhgb6"
"696",""
"697","Pcdhgc3"
"698","Pcdhgc4"
"699","Pcdhgc5"
"700","Pcsk4"
"701","Pdcd1"
"702","Pde1a"
"703","Pde1b"
"704","Pde1c"
"705","Pdgfra"
"706","Pdgfrb"
"707","Pear1"
"708","Pecam1"
"709","Pgap6"
"710","Pigr"
"711","Pla2r1"
"712","Plat"
"713","Plau"
"714","Plaur"
"715","Pld2"
"716","Plgrkt"
"717","Plscr4"
"718","Plvap"
"719","Plxdc1"
"720","Plxdc2"
"721","Plxna1"
"722","Plxna2"
"723","Plxna3"
